Year,Metric,Value
2005,Tobacco price index relative to Retail price index ,171.1979167
2006,Tobacco price index relative to Retail price index ,173.3467945
2007,Tobacco price index relative to Retail price index ,175.0242014
2008,Tobacco price index relative to Retail price index ,175.7914339
2009,Tobacco price index relative to Retail price index ,183.715489
2010,Tobacco price index relative to Retail price index ,188.9982111
2011,Tobacco price index relative to Retail price index ,199.4472789
2012,Tobacco price index relative to Retail price index ,209.723939
2013,Tobacco price index relative to Retail price index ,219.1923231
2014,Tobacco price index relative to Retail price index ,230.4296875
2015,Tobacco price index relative to Retail price index ,240.9284333
2016,Tobacco price index relative to Retail price index ,248.3846446
2017,Tobacco price index relative to Retail price index ,253.9449541
2018,Tobacco price index relative to Retail price index ,263.8849432
2019,Tobacco price index relative to Retail price index ,272.1952909
1987,"Tobacco price index
",100.1
1988,"Tobacco price index
",103.4
1989,"Tobacco price index
",106.4
1990,"Tobacco price index
",113.6
1991,"Tobacco price index
",129.9
1992,"Tobacco price index
",144.2
1993,"Tobacco price index
",156.4
1994,"Tobacco price index
",168.2
1995,"Tobacco price index
",179.5
1996,"Tobacco price index
",191.5
1997,"Tobacco price index
",205.6
1998,"Tobacco price index
",223.3
1999,"Tobacco price index
",248.9
2000,"Tobacco price index
",270.4
2001,"Tobacco price index
",285.1
2002,"Tobacco price index
",293.7
2003,"Tobacco price index
",304.1
2004,"Tobacco price index
",315
2005,"Tobacco price index
",328.7
2006,"Tobacco price index
",343.4
2007,"Tobacco price index
",361.6
2008,"Tobacco price index
",377.6
2009,"Tobacco price index
",392.6
2010,"Tobacco price index
",422.6
2011,"Tobacco price index
",469.1
2012,"Tobacco price index
",509
2013,"Tobacco price index
",548.2
2014,"Tobacco price index
",589.9
2015,"Tobacco price index
",622.8
2016,"Tobacco price index
",653.5
2017,"Tobacco price index
",692
2018,"Tobacco price index
",743.1
2019,Tobacco,786.1
